Enterprise,OrgName,Project,Collection,InfraId,Repository,Type
Client X,Org A,Project 6,Collection 786,42099,Repo 1288,Subversion
Client X,Org A,Project 6,Collection 786,44513,Repo 6720,Jira
Client X,Org A,Project 178,Collection 2020,52028,Repo 266,Subversion
Client X,Org A,Project 178,Collection 3117,52486,Repo 1053,Subversion
Client X,Org A,Project 178,Collection 3437,52651,Repo 1269,Subversion
Client X,Org A,Project 7,Collection 521,41747,Repo 831,Subversion
Client X,Org A,Project 7,Collection 521,44161,Repo 6367,Jira
Client X,Org A,Project 7,Collection 2995,52419,Repo 3544,Subversion
Client X,Org A,Project 7,Collection 3890,43366,Repo 5511,Subversion
Client X,Org A,Project 7,Collection 3890,45780,Repo 6943,Jira
Client X,Org A,Project 7,Collection 967,42345,Repo 1640,Subversion
Client X,Org A,Project 7,Collection 967,44759,Repo 6969,Jira
Client X,Org A,Project 179,Collection 3929,52927,Repo 1641,Subversion
Client X,Org A,Project 8,Collection 1401,42909,Repo 2317,Subversion
Client X,Org A,Project 8,Collection 1401,45323,Repo 7490,Jira
Client X,Org A,Project 8,Collection 5184,42910,Repo 2318,Subversion
Client X,Org A,Project 8,Collection 5184,45324,Repo 7491,Jira
Client X,Org A,Project 9,Collection 329,52193,Repo 3224,Subversion
Client X,Org A,Project 9,Collection 610,41910,Repo 1020,Subversion
Client X,Org A,Project 9,Collection 610,44324,Repo 6534,Jira
Client X,Org A,Project 9,Collection 611,97481,Repo 3595,Subversion
Client X,Org A,Project 9,Collection 3101,41929,Repo 1038,Subversion
Client X,Org A,Project 9,Collection 3101,44343,Repo 6549,Jira
Client X,Org A,Project 9,Collection 951,52915,Repo 4066,Subversion
Client X,Org A,Project 9,Collection 1165,82645,Repo 4431,Subversion
Client X,Org A,Project 9,Collection 1281,43266,Repo 5376,Subversion
Client X,Org A,Project 9,Collection 1281,45680,Repo 7365,Jira
Client X,Org A,Project 9,Collection 4930,53364,Repo 4806,Subversion
Client X,Org A,Project 9,Collection 5185,53496,Repo 2319,Subversion
Client X,Org A,Project 10,Collection 845,82609,Repo 3940,Subversion
Client X,Org A,Project 180,Collection 2099,52065,Repo 3025,Subversion
Client X,Org A,Project 181,Collection 2097,52064,Repo 324,Subversion
Client X,Org A,Project 181,Collection 2100,52066,Repo 328,Subversion
Client X,Org A,Project 181,Collection 2101,52067,Repo 327,Subversion
Client X,Org A,Project 181,Collection 2102,52068,Repo 5417,Subversion
Client X,Org A,Project 182,Collection 2317,52159,Repo 472,Subversion
Client X,Org A,Project 183,Collection 3364,52616,Repo 3780,Subversion
Client X,Org A,Project 184,Collection 2931,52381,Repo 913,Subversion
Client X,Org A,Project 184,Collection 3396,52631,Repo 5488,Subversion
Client X,Org A,Project 185,Collection 3932,52935,Repo 1644,Subversion
Client X,Org A,Project 186,Collection 2921,63870,Repo 3497,Subversion
Client X,Org A,Project 186,Collection 2923,63871,Repo 3499,Subversion
Client X,Org A,Project 186,Collection 2925,79326,Repo 3500,Subversion
Client X,Org A,Project 186,Collection 2927,79457,Repo 3502,Subversion
Client X,Org A,Project 186,Collection 2928,63873,Repo 3503,Subversion
Client X,Org A,Project 186,Collection 2929,63874,Repo 3504,Subversion
Client X,Org A,Project 186,Collection 2930,63875,Repo 3505,Subversion
Client X,Org A,Project 187,Collection 2325,54668,Repo 3156,Subversion
Client X,Org A,Project 187,Collection 3917,84436,Repo 4082,Subversion
Client X,Org A,Project 188,Collection 3077,52460,Repo 3594,Subversion
Client X,Org A,Project 11,Collection 1162,97292,Repo 4428,Subversion
Client X,Org A,Project 189,Collection 3088,52465,Repo 1031,Subversion
Client X,Org A,Project 189,Collection 3466,52668,Repo 3847,Subversion
Client X,Org A,Project 189,Collection 5221,53507,Repo 2364,Subversion
Client X,Org A,Project 190,Collection 2677,52302,Repo 679,Subversion
Client X,Org A,Project 190,Collection 2678,52303,Repo 678,Subversion
Client X,Org A,Project 190,Collection 3205,52524,Repo 1103,Subversion
Client X,Org A,Project 190,Collection 3545,52712,Repo 1343,Subversion
Client X,Org A,Project 190,Collection 4472,53172,Repo 1977,Subversion
Client X,Org A,Project 190,Collection 4476,53174,Repo 1979,Subversion
Client X,Org A,Project 190,Collection 4479,53176,Repo 5540,Subversion
Client X,Org A,Project 191,Collection 4475,53173,Repo 1978,Subversion
Client X,Org A,Project 191,Collection 4478,53175,Repo 1981,Subversion
Client X,Org A,Project 12,Collection 1155,53164,Repo 5539,Subversion
Client X,Org A,Project 12,Collection 1160,79613,Repo 4425,Subversion
Client X,Org A,Project 12,Collection 1161,54713,Repo 4427,Subversion
Client X,Org A,Project 192,Collection 2788,52344,Repo 775,Subversion
Client X,Org A,Project 13,Collection 1385,53484,Repo 5567,Subversion
Client X,Org A,Project 193,Collection 4138,84517,Repo 4234,Subversion
Client X,Org B,Project 194,Collection 3530,52698,Repo 1333,Subversion
Client X,Org B,Project 194,Collection 3531,52699,Repo 1332,Subversion
Client X,Org B,Project 195,Collection 1821,51924,Repo 149,Subversion
Client X,Org B,Project 195,Collection 1961,41253,Repo 222,Subversion
Client X,Org B,Project 195,Collection 1961,43667,Repo 5849,Jira
Client X,Org B,Project 195,Collection 1969,41261,Repo 229,Subversion
Client X,Org B,Project 195,Collection 1969,43675,Repo 5856,Jira
Client X,Org B,Project 195,Collection 1970,41262,Repo 230,Subversion
Client X,Org B,Project 195,Collection 1970,43676,Repo 5857,Jira
Client X,Org B,Project 195,Collection 3259,52553,Repo 1143,Subversion
Client X,Org B,Project 195,Collection 4203,53048,Repo 1800,Subversion
Client X,Org B,Project 14,Collection 853,42197,Repo 1432,Subversion
Client X,Org B,Project 14,Collection 853,44611,Repo 6815,Jira
Client X,Org B,Project 196,Collection 4206,42471,Repo 1804,Subversion
Client X,Org B,Project 196,Collection 4206,44885,Repo 7091,Jira
Client X,Org B,Project 197,Collection 2695,52314,Repo 695,Subversion
Client X,Org B,Project 198,Collection 2466,41505,Repo 545,Subversion
Client X,Org B,Project 198,Collection 2466,43919,Repo 6118,Jira
Client X,Org B,Project 198,Collection 4424,53142,Repo 1932,Subversion
Client X,Org B,Project 198,Collection 5619,43133,Repo 2616,Subversion
Client X,Org B,Project 198,Collection 5619,45547,Repo 7705,Jira
Client X,Org B,Project 199,Collection 3309,42019,Repo 1179,Subversion
Client X,Org B,Project 199,Collection 3309,44433,Repo 6646,Jira
Client X,Org B,Project 200,Collection 1927,41243,Repo 201,Subversion
Client X,Org B,Project 200,Collection 1927,43657,Repo 5840,Jira
Client X,Org B,Project 200,Collection 3260,52554,Repo 1144,Subversion
Client X,Org B,Project 200,Collection 4409,42572,Repo 1923,Subversion
Client X,Org B,Project 200,Collection 4409,44986,Repo 7193,Jira
Client X,Org B,Project 201,Collection 2511,52239,Repo 579,Subversion
Client X,Org B,Project 202,Collection 2050,52046,Repo 286,Subversion
Client X,Org B,Project 202,Collection 2563,52250,Repo 601,Subversion
Client X,Org B,Project 202,Collection 2595,52267,Repo 620,Subversion
Client X,Org B,Project 202,Collection 3368,52619,Repo 1223,Subversion
Client X,Org B,Project 202,Collection 4232,53060,Repo 1818,Subversion
Client X,Org B,Project 202,Collection 4924,53362,Repo 2146,Subversion
Client X,Org B,Project 202,Collection 4933,53366,Repo 2150,Subversion
Client X,Org B,Project 202,Collection 5084,53430,Repo 2244,Subversion
Client X,Org B,Project 202,Collection 5234,42955,Repo 2375,Subversion
Client X,Org B,Project 202,Collection 5234,45369,Repo 7539,Jira
Client X,Org B,Project 202,Collection 5261,42967,Repo 2399,Subversion
Client X,Org B,Project 202,Collection 5261,45381,Repo 7553,Jira
Client X,Org B,Project 15,Collection 735,42031,Repo 1196,Subversion
Client X,Org B,Project 15,Collection 735,44445,Repo 6659,Jira
Client X,Org B,Project 15,Collection 5150,53474,Repo 2290,Subversion
Client X,Org B,Project 15,Collection 5391,53614,Repo 2467,Subversion
Client X,Org B,Project 15,Collection 1511,43079,Repo 2536,Subversion
Client X,Org B,Project 15,Collection 1511,45493,Repo 7651,Jira
Client X,Org B,Project 15,Collection 1543,43106,Repo 2573,Subversion
Client X,Org B,Project 15,Collection 1543,45520,Repo 7676,Jira
Client X,Org B,Project 16,Collection 3537,42137,Repo 1335,Subversion
Client X,Org B,Project 16,Collection 3537,44551,Repo 6759,Jira
Client X,Org B,Project 16,Collection 841,42180,Repo 1405,Subversion
Client X,Org B,Project 16,Collection 841,44594,Repo 6800,Jira
Client X,Org B,Project 16,Collection 5137,53467,Repo 2279,Subversion
Client X,Org B,Project 17,Collection 3036,52437,Repo 993,Subversion
Client X,Org B,Project 17,Collection 3221,41970,Repo 1111,Subversion
Client X,Org B,Project 17,Collection 3221,44384,Repo 6594,Jira
Client X,Org B,Project 17,Collection 1583,43155,Repo 2647,Subversion
Client X,Org B,Project 17,Collection 1583,45569,Repo 7728,Jira
Client X,Org B,Project 203,Collection 3278,52562,Repo 1157,Subversion
Client X,Org B,Project 203,Collection 3913,42334,Repo 1629,Subversion
Client X,Org B,Project 203,Collection 3913,44748,Repo 6958,Jira
Client X,Org B,Project 203,Collection 5109,53446,Repo 2260,Subversion
Client X,Org B,Project 203,Collection 5110,53449,Repo 2261,Subversion
Client X,Org B,Project 203,Collection 5113,42868,Repo 2264,Subversion
Client X,Org B,Project 203,Collection 5113,45282,Repo 7453,Jira
Client X,Org B,Project 204,Collection 3443,42093,Repo 1276,Subversion
Client X,Org B,Project 204,Collection 3443,44507,Repo 6712,Jira
Client X,Org B,Project 204,Collection 4213,53053,Repo 1811,Subversion
Client X,Org B,Project 205,Collection 3125,52489,Repo 1059,Subversion
Client X,Org B,Project 18,Collection 496,41696,Repo 769,Subversion
Client X,Org B,Project 18,Collection 496,44110,Repo 6316,Jira
Client X,Org B,Project 18,Collection 2948,41838,Repo 929,Subversion
Client X,Org B,Project 18,Collection 2948,44252,Repo 6462,Jira
Client X,Org B,Project 18,Collection 4928,42743,Repo 2148,Subversion
Client X,Org B,Project 18,Collection 4928,45157,Repo 7364,Jira
Client X,Org B,Project 19,Collection 469,41658,Repo 728,Subversion
Client X,Org B,Project 19,Collection 469,44072,Repo 6271,Jira
Client X,Org B,Project 19,Collection 2757,52328,Repo 748,Subversion
Client X,Org B,Project 19,Collection 2758,41680,Repo 752,Subversion
Client X,Org B,Project 19,Collection 2758,44094,Repo 6299,Jira
Client X,Org B,Project 19,Collection 2761,41684,Repo 756,Subversion
Client X,Org B,Project 19,Collection 2761,44098,Repo 6304,Jira
Client X,Org B,Project 19,Collection 3098,52470,Repo 1035,Subversion
Client X,Org B,Project 19,Collection 3583,42160,Repo 1371,Subversion
Client X,Org B,Project 19,Collection 3583,44574,Repo 6781,Jira
Client X,Org B,Project 19,Collection 3792,43237,Repo 5349,Subversion
Client X,Org B,Project 19,Collection 3792,45651,Repo 6894,Jira
Client X,Org B,Project 19,Collection 4255,53073,Repo 4311,Subversion
Client X,Org B,Project 19,Collection 4301,42517,Repo 1860,Subversion
Client X,Org B,Project 19,Collection 4301,44931,Repo 7135,Jira
Client X,Org B,Project 19,Collection 4371,42555,Repo 1897,Subversion
Client X,Org B,Project 19,Collection 4371,44969,Repo 7169,Jira
Client X,Org B,Project 19,Collection 4384,53119,Repo 1910,Subversion
Client X,Org B,Project 19,Collection 1279,42738,Repo 2138,Subversion
Client X,Org B,Project 19,Collection 1279,45152,Repo 7359,Jira
Client X,Org B,Project 19,Collection 4952,53379,Repo 2164,Subversion
Client X,Org B,Project 19,Collection 5412,53623,Repo 2474,Subversion
Client X,Org B,Project 206,Collection 2673,41613,Repo 675,Subversion
Client X,Org B,Project 206,Collection 2673,44027,Repo 6223,Jira
Client X,Org B,Project 207,Collection 2064,41313,Repo 298,Subversion
Client X,Org B,Project 207,Collection 2064,43727,Repo 5912,Jira
Client X,Org B,Project 208,Collection 2183,83761,Repo 3068,Subversion
Client X,Org B,Project 208,Collection 2615,41577,Repo 634,Subversion
Client X,Org B,Project 208,Collection 2615,43991,Repo 6183,Jira
Client X,Org B,Project 208,Collection 3279,52563,Repo 1158,Subversion
Client X,Org B,Project 208,Collection 5142,84884,Repo 4955,Subversion
Client X,Org B,Project 20,Collection 1671,41133,Repo 65,Subversion
Client X,Org B,Project 20,Collection 1671,43547,Repo 5739,Jira
Client X,Org B,Project 20,Collection 2823,41722,Repo 803,Subversion
Client X,Org B,Project 20,Collection 2823,44136,Repo 6340,Jira
Client X,Org B,Project 20,Collection 506,41724,Repo 805,Subversion
Client X,Org B,Project 20,Collection 506,44138,Repo 6342,Jira
Client X,Org B,Project 20,Collection 961,42331,Repo 1626,Subversion
Client X,Org B,Project 20,Collection 961,44745,Repo 6955,Jira
Client X,Org B,Project 20,Collection 5263,42974,Repo 2401,Subversion
Client X,Org B,Project 20,Collection 5263,45388,Repo 7555,Jira
Client X,Org B,Project 209,Collection 2110,52076,Repo 332,Subversion
Client X,Org B,Project 209,Collection 2333,41453,Repo 481,Subversion
Client X,Org B,Project 209,Collection 2333,43867,Repo 6060,Jira
Client X,Org B,Project 209,Collection 2334,52169,Repo 3161,Subversion
Client X,Org B,Project 209,Collection 2570,41550,Repo 606,Subversion
Client X,Org B,Project 209,Collection 2570,43964,Repo 6159,Jira
Client X,Org B,Project 209,Collection 3079,41913,Repo 1023,Subversion
Client X,Org B,Project 209,Collection 3079,44327,Repo 6537,Jira
Client X,Org B,Project 209,Collection 3081,41915,Repo 1025,Subversion
Client X,Org B,Project 209,Collection 3081,44329,Repo 6539,Jira
Client X,Org B,Project 209,Collection 3329,52594,Repo 1197,Subversion
Client X,Org B,Project 209,Collection 4174,84529,Repo 4256,Subversion
Client X,Org B,Project 209,Collection 4175,53037,Repo 1783,Subversion
Client X,Org B,Project 209,Collection 4176,84530,Repo 4255,Subversion
Client X,Org B,Project 209,Collection 5254,42962,Repo 2390,Subversion
Client X,Org B,Project 209,Collection 5254,45376,Repo 7547,Jira
Client X,Org B,Project 209,Collection 5394,84976,Repo 5090,Subversion
Client X,Org B,Project 209,Collection 5398,53617,Repo 2470,Subversion
Client X,Org B,Project 209,Collection 5399,53618,Repo 2469,Subversion
Client X,Org B,Project 209,Collection 5400,84977,Repo 5093,Subversion
Client X,Org B,Project 209,Collection 5575,43116,Repo 2588,Subversion
Client X,Org B,Project 209,Collection 5575,45530,Repo 7688,Jira
Client X,Org B,Project 209,Collection 5624,43136,Repo 2619,Subversion
Client X,Org B,Project 209,Collection 5624,45550,Repo 7707,Jira
Client X,Org B,Project 210,Collection 3354,52611,Repo 1212,Subversion
Client X,Org B,Project 210,Collection 5324,42994,Repo 2429,Subversion
Client X,Org B,Project 210,Collection 5324,45408,Repo 7577,Jira
Client X,Org B,Project 211,Collection 2122,41345,Repo 338,Subversion
Client X,Org B,Project 211,Collection 2122,43759,Repo 5945,Jira
Client X,Org B,Project 211,Collection 2123,52082,Repo 339,Subversion
Client X,Org B,Project 21,Collection 750,42060,Repo 5486,Subversion
Client X,Org B,Project 21,Collection 750,44474,Repo 6680,Jira
Client X,Org B,Project 21,Collection 4034,42389,Repo 1702,Subversion
Client X,Org B,Project 21,Collection 4034,44803,Repo 7010,Jira
Client X,Org B,Project 21,Collection 4307,53090,Repo 1863,Subversion
Client X,Org B,Project 21,Collection 4311,53094,Repo 4346,Subversion
Client X,Org B,Project 21,Collection 4357,42541,Repo 1888,Subversion
Client X,Org B,Project 21,Collection 4357,44955,Repo 7158,Jira
Client X,Org B,Project 21,Collection 5531,43097,Repo 2565,Subversion
Client X,Org B,Project 21,Collection 5531,45511,Repo 7669,Jira
Client X,Org B,Project 22,Collection 1484,84998,Repo 5120,Subversion
Client X,Org B,Project 22,Collection 5569,43113,Repo 2585,Subversion
Client X,Org B,Project 22,Collection 5569,45527,Repo 7684,Jira
Client X,Org B,Project 22,Collection 5570,43114,Repo 2584,Subversion
Client X,Org B,Project 22,Collection 5570,45528,Repo 7685,Jira
Client X,Org B,Project 212,Collection 2318,52160,Repo 473,Subversion
Client X,Org B,Project 212,Collection 3283,42009,Repo 1161,Subversion
Client X,Org B,Project 212,Collection 3283,44423,Repo 6637,Jira
Client X,Org B,Project 213,Collection 3411,52641,Repo 1241,Subversion
Client X,Org B,Project 213,Collection 3830,42299,Repo 1573,Subversion
Client X,Org B,Project 213,Collection 3830,44713,Repo 6919,Jira
Client X,Org B,Project 214,Collection 4370,42554,Repo 1896,Subversion
Client X,Org B,Project 214,Collection 4370,44968,Repo 7168,Jira
Client X,Org B,Project 215,Collection 5192,53498,Repo 2331,Subversion
Client X,Org B,Project 215,Collection 5202,42929,Repo 2343,Subversion
Client X,Org B,Project 215,Collection 5202,45343,Repo 7513,Jira
Client X,Org B,Project 216,Collection 5419,43030,Repo 2476,Subversion
Client X,Org B,Project 216,Collection 5419,45444,Repo 7604,Jira
Client X,Org B,Project 217,Collection 3039,41889,Repo 996,Subversion
Client X,Org B,Project 217,Collection 3039,44303,Repo 6517,Jira
Client X,Org B,Project 217,Collection 3040,41890,Repo 995,Subversion
Client X,Org B,Project 217,Collection 3040,44304,Repo 6518,Jira
Client X,Org B,Project 217,Collection 4380,53117,Repo 1906,Subversion
Client X,Org B,Project 217,Collection 4382,53118,Repo 1908,Subversion
Client X,Org B,Project 23,Collection 2179,41379,Repo 385,Subversion
Client X,Org B,Project 23,Collection 2179,43793,Repo 5979,Jira
Client X,Org B,Project 23,Collection 2351,41457,Repo 486,Subversion
Client X,Org B,Project 23,Collection 2351,43871,Repo 6064,Jira
Client X,Org B,Project 23,Collection 2403,52197,Repo 508,Subversion
Client X,Org B,Project 23,Collection 2590,52264,Repo 617,Subversion
Client X,Org B,Project 23,Collection 3051,52445,Repo 1007,Subversion
Client X,Org B,Project 23,Collection 998,42395,Repo 1710,Subversion
Client X,Org B,Project 23,Collection 998,44809,Repo 7016,Jira
Client X,Org B,Project 23,Collection 4058,42396,Repo 1711,Subversion
Client X,Org B,Project 23,Collection 4058,44810,Repo 7017,Jira
Client X,Org B,Project 23,Collection 4060,42398,Repo 1713,Subversion
Client X,Org B,Project 23,Collection 4060,44812,Repo 7019,Jira
Client X,Org B,Project 23,Collection 4061,52987,Repo 1714,Subversion
Client X,Org B,Project 23,Collection 4062,42399,Repo 1715,Subversion
Client X,Org B,Project 23,Collection 4062,44813,Repo 7020,Jira
Client X,Org B,Project 23,Collection 4063,52988,Repo 1716,Subversion
Client X,Org B,Project 23,Collection 4103,42429,Repo 1740,Subversion
Client X,Org B,Project 23,Collection 4103,44843,Repo 7047,Jira
Client X,Org B,Project 23,Collection 1339,42802,Repo 2217,Subversion
Client X,Org B,Project 23,Collection 1339,45216,Repo 7422,Jira
Client X,Org B,Project 218,Collection 4164,53031,Repo 1774,Subversion
Client X,Org B,Project 218,Collection 4388,53121,Repo 1912,Subversion
Client X,Org B,Project 218,Collection 4389,53122,Repo 1913,Subversion
Client X,Org B,Project 218,Collection 5372,53603,Repo 2458,Subversion
Client X,Org B,Project 219,Collection 2213,43308,Repo 5426,Subversion
Client X,Org B,Project 219,Collection 2213,45722,Repo 5992,Jira
Client X,Org B,Project 219,Collection 2790,41705,Repo 778,Subversion
Client X,Org B,Project 219,Collection 2790,44119,Repo 6324,Jira
Client X,Org B,Project 219,Collection 3037,41888,Repo 994,Subversion
Client X,Org B,Project 219,Collection 3037,44302,Repo 6516,Jira
Client X,Org B,Project 219,Collection 3291,42013,Repo 1168,Subversion
Client X,Org B,Project 219,Collection 3291,44427,Repo 6641,Jira
Client X,Org B,Project 219,Collection 3350,42047,Repo 1209,Subversion
Client X,Org B,Project 219,Collection 3350,44461,Repo 6668,Jira
Client X,Org B,Project 219,Collection 3505,42127,Repo 1320,Subversion
Client X,Org B,Project 219,Collection 3505,44541,Repo 6750,Jira
Client X,Org B,Project 219,Collection 4891,43387,Repo 5550,Subversion
Client X,Org B,Project 219,Collection 4891,45801,Repo 7344,Jira
Client X,Org B,Project 219,Collection 4917,42740,Repo 2143,Subversion
Client X,Org B,Project 219,Collection 4917,45154,Repo 7362,Jira
Client X,Org B,Project 220,Collection 4253,53071,Repo 1826,Subversion
Client X,Org B,Project 221,Collection 2462,52220,Repo 544,Subversion
Client X,Org B,Project 221,Collection 3123,52488,Repo 1057,Subversion
Client X,Org B,Project 221,Collection 3334,52597,Repo 1200,Subversion
Client X,Org B,Project 221,Collection 3337,52598,Repo 1204,Subversion
Client X,Org B,Project 221,Collection 3647,52773,Repo 1420,Subversion
Client X,Org B,Project 221,Collection 5311,53578,Repo 2422,Subversion
Client X,Org B,Project 222,Collection 2135,41354,Repo 354,Subversion
Client X,Org B,Project 222,Collection 2135,43768,Repo 5954,Jira
Client X,Org B,Project 222,Collection 2163,52104,Repo 379,Subversion
Client X,Org B,Project 222,Collection 3859,52898,Repo 1594,Subversion
Client X,Org B,Project 222,Collection 3887,52914,Repo 1611,Subversion
Client X,Org B,Project 223,Collection 2040,83714,Repo 2981,Subversion
Client X,Org B,Project 224,Collection 1618,83540,Repo 2698,Subversion
Client X,Org B,Project 224,Collection 3984,42366,Repo 1671,Subversion
Client X,Org B,Project 224,Collection 3984,44780,Repo 6990,Jira
Client X,Org B,Project 224,Collection 3985,42367,Repo 1672,Subversion
Client X,Org B,Project 224,Collection 3985,44781,Repo 6991,Jira
Client X,Org B,Project 225,Collection 2029,41298,Repo 274,Subversion
Client X,Org B,Project 225,Collection 2029,43712,Repo 5895,Jira
Client X,Org B,Project 225,Collection 2030,41299,Repo 275,Subversion
Client X,Org B,Project 225,Collection 2030,43713,Repo 5897,Jira
Client X,Org B,Project 226,Collection 2061,52053,Repo 292,Subversion
Client X,Org B,Project 227,Collection 4116,84509,Repo 4213,Subversion
Client X,Org B,Project 228,Collection 1958,51992,Repo 221,Subversion
Client X,Org B,Project 228,Collection 4256,53074,Repo 1828,Subversion
Client X,Org B,Project 24,Collection 300,63840,Repo 3166,Subversion
Client X,Org B,Project 24,Collection 2454,63851,Repo 3260,Subversion
Client X,Org B,Project 24,Collection 2455,63852,Repo 3261,Subversion
Client X,Org B,Project 24,Collection 354,63853,Repo 3262,Subversion
Client X,Org B,Project 24,Collection 1436,64093,Repo 5008,Subversion
Client X,Org B,Project 229,Collection 5346,84963,Repo 5060,Subversion
Client X,Org B,Project 230,Collection 2603,52273,Repo 625,Subversion
Client X,Org B,Project 231,Collection 3086,41919,Repo 1030,Subversion
Client X,Org B,Project 231,Collection 3086,44333,Repo 6542,Jira
Client X,Org B,Project 232,Collection 2924,52380,Repo 911,Subversion
Client X,Org B,Project 233,Collection 1851,51941,Repo 166,Subversion
Client X,Org B,Project 233,Collection 2485,41519,Repo 561,Subversion
Client X,Org B,Project 233,Collection 2485,43933,Repo 6132,Jira
Client X,Org B,Project 233,Collection 3629,52760,Repo 1410,Subversion
Client X,Org B,Project 233,Collection 4323,42530,Repo 1872,Subversion
Client X,Org B,Project 233,Collection 4323,44944,Repo 7148,Jira
Client X,Org B,Project 233,Collection 4931,53365,Repo 2149,Subversion
Client X,Org B,Project 234,Collection 3612,52748,Repo 1394,Subversion
Client X,Org B,Project 235,Collection 1831,51927,Repo 154,Subversion
Client X,Org B,Project 236,Collection 1746,41163,Repo 111,Subversion
Client X,Org B,Project 236,Collection 1746,43577,Repo 5767,Jira
Client X,Org B,Project 236,Collection 3678,52790,Repo 1446,Subversion
Client X,Org B,Project 236,Collection 3852,52894,Repo 1590,Subversion
Client X,Org B,Project 236,Collection 4188,42459,Repo 1792,Subversion
Client X,Org B,Project 236,Collection 4188,44873,Repo 7081,Jira
Client X,Org B,Project 236,Collection 4189,42460,Repo 1793,Subversion
Client X,Org B,Project 236,Collection 4189,44874,Repo 7082,Jira
Client X,Org B,Project 236,Collection 4208,53050,Repo 1806,Subversion
Client X,Org B,Project 236,Collection 4209,53051,Repo 1807,Subversion
Client X,Org B,Project 25,Collection 96,41200,Repo 152,Subversion
Client X,Org B,Project 25,Collection 96,43614,Repo 5805,Jira
Client X,Org B,Project 25,Collection 4846,84784,Repo 4769,Subversion
Client X,Org B,Project 25,Collection 5568,85037,Repo 5213,Subversion
Client X,Org B,Project 237,Collection 1599,83532,Repo 2683,Subversion
Client X,Org B,Project 237,Collection 4083,84498,Repo 4183,Subversion
Client X,Org B,Project 237,Collection 4309,84598,Repo 4345,Subversion
Client X,Org B,Project 237,Collection 4337,84609,Repo 4359,Subversion
Client X,Org B,Project 237,Collection 4353,84632,Repo 4373,Subversion
Client X,Org B,Project 238,Collection 1745,51892,Repo 110,Subversion
Client X,Org B,Project 239,Collection 4195,53044,Repo 1796,Subversion
Client X,Org B,Project 26,Collection 1819,83616,Repo 2827,Subversion
Client X,Org B,Project 26,Collection 1868,41208,Repo 171,Subversion
Client X,Org B,Project 26,Collection 1868,43622,Repo 5814,Jira
Client X,Org B,Project 26,Collection 801,84291,Repo 3865,Subversion
Client X,Org B,Project 26,Collection 3597,52741,Repo 1384,Subversion
